Model,MAE,RMSE,MAPE,R2
Random Forest,1555.4740470731335,3486.5933859790657,inf,0.9752066271703866
XGBoost,1461.499452988457,3179.1131053535664,inf,0.9793868214111424
LightGBM,1490.1291628020479,3237.2778607188257,inf,0.9786256477855484
